Polymer Type,Unnamed: 1,Polymer,He,H2,O2,N2,CO2,CH4,Unnamed: 18,Unnamed: 19,Unnamed: 20,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4,log10_He_Bayesian,log10_H2_Bayesian,log10_O2_Bayesian,log10_N2_Bayesian,log10_CO2_Bayesian,log10_CH4_Bayesian,log10_He_Bayesian_std,log10_H2_Bayesian_std,log10_O2_Bayesian_std,log10_N2_Bayesian_std,log10_CH4_Bayesian_std,log10_CO2_Bayesian_std
Cellulosic Polymers,CA-4 + 1.20 DS carbamate,,34,36,5.5,1.3,38,1.97,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.531478917,1.556302501,0.740362689,0.113943352,1.579783597,0.294466226,1.531478917,1.556302501,0.740362689,0.113943352,1.579783597,0.294466226,0.087537669,0.099678705,0.071999191,0.082718203,0.13581024,0.143983546
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (as cast),2.78,2.51,0.12,0.017,0.67,0.005,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,0.444044796,0.399673721,-0.920818754,-1.769551079,-0.173925197,-2.301029996,0.444044796,0.399673721,-0.920818754,-1.769551079,-0.173925197,-2.301029996,0.08731575,0.096837736,0.070411211,0.082184657,0.135087087,0.141082663
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (HCl doped),0.319,0.121,0.016,,0.034,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,-0.496209317,-0.91721463,-1.795880017,,-1.468521083,,-0.496209317,-0.91721463,-1.795880017,-2.438918593,-1.468521083,-2.441542397,0.084778644,0.094561652,0.070334721,0.080586368,0.131296306,0.141500172
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (undoped),3.66,3.14,0.135,0.01,0.771,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,0.563481085,0.496929648,-0.869666232,-2,-0.112945622,,0.563481085,0.496929648,-0.869666232,-2,-0.112945622,-2.187262817,0.088532139,0.099684626,0.072126309,0.082462826,0.136550869,0.144373298
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (as cast),,1.477,0.088,0.009,0.291,,,Illing 2005,http://www.sciencedirect.com/science/article/pii/S0376738805000402,,0.169380495,-1.055517328,-2.045757491,-0.536107011,,0.367275938,0.169380495,-1.055517328,-2.045757491,-0.536107011,-2.237266984,0.086894209,0.097531476,0.07137968,0.081515664,0.13427796,0.143392476
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (redoped),,1.753,0.052,0.0059,0.076,,,Illing 2005,http://www.sciencedirect.com/science/article/pii/S0376738805000402,,0.243781916,-1.283996656,-2.229147988,-1.119186408,,0.587737505,0.243781916,-1.283996656,-2.229147988,-1.119186408,-2.769031256,0.08668115,0.097596632,0.071244544,0.08186274,0.134058408,0.144204496
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (annealed),,3.707,0.121,0.019,0.476,0.013,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307,,0.569022586,-0.91721463,-1.721246399,-0.322393047,-1.886056648,0.684225633,0.569022586,-0.91721463,-1.721246399,-0.322393047,-1.886056648,0.087906171,0.099651694,0.071460442,0.082836436,0.135244715,0.144671138
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (doped),,0.29,0.01,0.004,0.035,0.003,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307,,-0.537602002,-2,-2.397940009,-1.455931956,-2.522878745,-0.190538706,-0.537602002,-2,-2.397940009,-1.455931956,-2.522878745,0.086963221,0.098549182,0.070382417,0.082875552,0.134068155,0.143674557
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (undoped),,4.53,0.15,0.016,0.568,0.011,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307,,0.656098202,-0.823908741,-1.795880017,-0.245651664,-1.958607315,0.734193605,0.656098202,-0.823908741,-1.795880017,-0.245651664,-1.958607315,0.088193763,0.099777467,0.071840893,0.08258535,0.135503662,0.145043373
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (redoped),,4.35,0.142,0.01,0.547,0.007,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307,,0.638489257,-0.847711656,-2,-0.262012674,-2.15490196,0.68753064,0.638489257,-0.847711656,-2,-0.262012674,-2.15490196,0.08870234,0.100124815,0.072264938,0.082405446,0.136081329,0.145580553
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (emeraldine base),4.29,4.38,0.151,0.0165,0.72,0.0078,,Wang 1999,http://www.sciencedirect.com/science/article/pii/S0379677998010571,0.632457292,0.641474111,-0.821023053,-1.782516056,-0.142667504,-2.107905397,0.632457292,0.641474111,-0.821023053,-1.782516056,-0.142667504,-2.107905397,0.088068933,0.098363992,0.071077833,0.082484161,0.13564286,0.143144866
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline-NO3 doped,,,0.129,0.0087,0.401,0.0073,,Kuwabata 1994,http://www.sciencedirect.com/science/article/pii/0376738894000107,,,-0.88941029,-2.060480747,-0.396855627,-2.13667714,0.535508669,0.465652947,-0.88941029,-2.060480747,-0.396855627,-2.13667714,0.08823354,0.099249025,0.072106782,0.08174952,0.135206363,0.145292148
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline-CL doped,,,0.142,0.0096,0.462,0.0089,,Kuwabata 1994,http://www.sciencedirect.com/science/article/pii/0376738894000107,,,-0.847711656,-2.017728767,-0.335358024,-2.050609993,0.534633086,0.484588276,-0.847711656,-2.017728767,-0.335358024,-2.050609993,0.088315331,0.099344802,0.072149993,0.081739355,0.135222451,0.145344509
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline,4.15,3.66,0.19,0.03,0.91,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,0.618048097,0.563481085,-0.721246399,-1.522878745,-0.040958608,,0.618048097,0.563481085,-0.721246399,-1.522878745,-0.040958608,-1.616748636,0.087500661,0.098519908,0.071156538,0.082310001,0.134797117,0.143308882
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polymethoxyaniline,6.19,6.04,0.202,0.047,1.06,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,0.791690649,0.781036939,-0.694648631,-1.327902142,0.025305865,,0.791690649,0.781036939,-0.694648631,-1.327902142,0.025305865,-1.478661728,0.088334035,0.099705229,0.070910313,0.083330504,0.135910524,0.144106415
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyethoxyaniline,9.73,8.1,0.62,0.107,2.22,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W,0.98811284,0.908485019,-0.207608311,-0.970616222,0.346352974,,0.98811284,0.908485019,-0.207608311,-0.970616222,0.346352974,-1.089706238,0.086841949,0.097801168,0.071139333,0.081919618,0.13426541,0.143218998
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(N-methylpyrrole),,,2.04,0.33,6.9,0.22,,Liang 1991,http://dx.doi.org/10.1021/cm00015a007,,,0.309630167,-0.48148606,0.838849091,-0.657577319,1.422145151,1.378220418,0.309630167,-0.48148606,0.838849091,-0.657577319,0.08703999,0.098143216,0.071386523,0.082070447,0.134874732,0.143659047
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(N-methyl pyrrole) NO3 doped,,,1.26,0.16,2.82,0.17,,Liang 1991,http://dx.doi.org/10.1021/cm00015a007,,,0.100370545,-0.795880017,0.450249108,-0.769551079,1.162036628,1.147607146,0.100370545,-0.795880017,0.450249108,-0.769551079,0.087111503,0.097955593,0.071548147,0.081390747,0.133789773,0.144437809
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(3-dodecyl thiophene),,,20.2,9.4,88.2,,,Musselman 1999,http://www.sciencedirect.com/science/article/pii/S0376738898001276,,,1.305351369,0.973127854,1.945468585,,1.835290879,1.904413013,1.305351369,0.973127854,1.945468585,1.139764482,0.086242363,0.097256001,0.070724637,0.082002049,0.133795566,0.142361514
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3b,,,6.6,1.8,24,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135,,,0.819543936,0.255272505,1.380211242,,1.636487537,1.648980115,0.819543936,0.255272505,1.380211242,0.25587199,0.086505481,0.097537286,0.071019299,0.08193511,0.134102311,0.142960574
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3c,,,6.5,1.5,26,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135,,,0.812913357,0.176091259,1.414973348,,1.646867077,1.681354915,0.812913357,0.176091259,1.414973348,0.166789086,0.086843013,0.097952077,0.071220718,0.082059661,0.134585496,0.143211091
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3d,,,3.5,1.1,14,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135,,,0.544068044,0.041392685,1.146128036,,1.401969982,1.377740602,0.544068044,0.041392685,1.146128036,0.067320272,0.086349524,0.097373478,0.070842472,0.08194404,0.133862557,0.142592203
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3e,,,12,3.9,60,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135,,,1.079181246,0.591064607,1.77815125,,1.724031655,1.801601941,1.079181246,0.591064607,1.77815125,0.70706062,0.086741724,0.097885894,0.071045493,0.082167595,0.134494062,0.142710393
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(phenylene vinylene) 3f,,,12,4.5,61,,,Sakaguchi 2010,http://dx.doi.org/10.1002/app.32135,,,1.079181246,0.653212514,1.785329835,,1.693451687,1.76361451,1.079181246,0.653212514,1.785329835,0.797747292,0.086595737,0.097713757,0.070916215,0.08214825,0.134285921,0.142500113
High Temperature Polymers,,Polytriazole,14,,1.16,0.14,5.2,0.09,,Gebben 1989,http://www.sciencedirect.com/science/article/pii/S0376738800811680,1.146128036,,0.064457989,-0.853871964,0.716003344,-1.045757491,1.146128036,1.133155691,0.064457989,-0.853871964,0.716003344,-1.045757491,0.087405762,0.098009457,0.071423968,0.081997285,0.135396052,0.143124127
High Temperature Polymers,,Polybenzoxazinoneimide (1),,2.56,0.082,0.0053,0.26,,,Polotskaya 2005,http://www.sciencedirect.com/science/article/pii/S0032386105002314,,0.408239965,-1.086186148,-2.27572413,-0.585026652,,0.5881997,0.408239965,-1.086186148,-2.27572413,-0.585026652,-2.663864255,0.088047229,0.099081146,0.071991839,0.082141559,0.135935876,0.144846408
High Temperature Polymers,PIM-1 heterocyclic polymer,,660,1300,370,92,2300,125,,Budd 2005,http://www.sciencedirect.com/science/article/B6TGK-4FGX5C5-1/2/83c20ddad8097af6df788d80ee1a45a2,2.819543936,3.113943352,2.568201724,1.963787827,3.361727836,2.096910013,2.819543936,3.113943352,2.568201724,1.963787827,3.361727836,2.096910013,0.087979916,0.099430878,0.071968826,0.082781087,0.136788502,0.143923627
High Temperature Polymers,PIM-7 heterocyclic polymer,,440,860,190,42,1100,62,,Budd 2005,http://www.sciencedirect.com/science/article/B6TGK-4FGX5C5-1/2/83c20ddad8097af6df788d80ee1a45a2,2.643452676,2.934498451,2.278753601,1.62324929,3.041392685,1.792391689,2.643452676,2.934498451,2.278753601,1.62324929,3.041392685,1.792391689,0.088165196,0.09975672,0.072055266,0.082754175,0.136595796,0.144441315
High Temperature Polymers,PIM-1 heterocyclic polymer,,760,1630,580,180,4390,310,,Budd 2008,http://www.sciencedirect.com/science/article/pii/S0376738808008284,2.880813592,3.212187604,2.763427994,2.255272505,3.64246452,2.491361694,2.880813592,3.212187604,2.763427994,2.255272505,3.64246452,2.491361694,0.088034507,0.09961845,0.071945551,0.082954271,0.136897575,0.143664457
High Temperature Polymers,PIM-1,,740,1600,530,155,3700,240,,Budd 2008,http://www.sciencedirect.com/science/article/pii/S0376738808008284,2.86923172,3.204119983,2.72427587,2.190331698,3.568201724,2.380211242,2.86923172,3.204119983,2.72427587,2.190331698,3.568201724,2.380211242,0.087981759,0.099358434,0.07183191,0.082846587,0.136749721,0.143565579
High Temperature Polymers,PIM-1,,,,1133,353,5366,,,Du 2008,http://dx.doi.org/10.1021/ma801858d,,,3.05422991,2.547774705,3.729650668,,3.10363971,3.458454261,3.05422991,2.547774705,3.729650668,2.784184602,0.087568408,0.098830519,0.071732551,0.082469055,0.135929072,0.143979163
High Temperature Polymers,TFMPSPIM1,,,,156,33,731,,,Du 2008,http://dx.doi.org/10.1021/ma801858d,,,2.193124598,1.51851394,2.863917377,,2.58654453,2.843043787,2.193124598,1.51851394,2.863917377,1.624150272,0.087783147,0.099078486,0.071852456,0.082460404,0.136118912,0.144192605
High Temperature Polymers,TFMPSPIM2,,,,308,75,1476,,,Du 2008,http://dx.doi.org/10.1021/ma801858d,,,2.488550717,1.875061263,3.169086357,,2.759026013,3.051074039,2.488550717,1.875061263,3.169086357,2.030861256,0.087711002,0.099002145,0.071807596,0.082471362,0.13605976,0.144088436
High Temperature Polymers,TFMPSPIM3,,,,561,158,2841,,,Du 2008,http://dx.doi.org/10.1021/ma801858d,,,2.748962861,2.198657087,3.453471234,,2.900520675,3.226903876,2.748962861,2.198657087,3.453471234,2.409814771,0.087662905,0.098959813,0.071763661,0.082505936,0.136032944,0.143949234
High Temperature Polymers,TFMPSPIM4,,,,737,217,3616,,,Du 2008,http://dx.doi.org/10.1021/ma801858d,,,2.867467488,2.336459734,3.558228422,,2.979385105,3.315753583,2.867467488,2.336459734,3.558228422,2.557160813,0.087609211,0.098888652,0.071742234,0.082483445,0.135967515,0.143950818
High Temperature Polymers,PIM-PI-1,,260,530,150,47,1100,77,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.414973348,2.72427587,2.176091259,1.672097858,3.041392685,1.886490725,2.414973348,2.72427587,2.176091259,1.672097858,3.041392685,1.886490725,0.08775014,0.098816819,0.071414817,0.082652108,0.136025935,0.142882221
High Temperature Polymers,PIM-PI-2,,160,220,39,9,210,9,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.204119983,2.342422681,1.591064607,0.954242509,2.322219295,0.954242509,2.204119983,2.342422681,1.591064607,0.954242509,2.322219295,0.954242509,0.087482197,0.098869628,0.071634284,0.082565141,0.13599695,0.143506294
High Temperature Polymers,PIM-PI-3,,190,360,85,23,520,27,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.278753601,2.556302501,1.929418926,1.361727836,2.716003344,1.431363764,2.278753601,2.556302501,1.929418926,1.361727836,2.716003344,1.431363764,0.087476552,0.09805093,0.071135557,0.082368112,0.135630941,0.142459357
High Temperature Polymers,PIM-PI-4,,205,300,64,16,420,20,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.311753861,2.477121255,1.806179974,1.204119983,2.62324929,1.301029996,2.311753861,2.477121255,1.806179974,1.204119983,2.62324929,1.301029996,0.087712726,0.09943838,0.071900043,0.082801458,0.136467605,0.14371985
High Temperature Polymers,PIM-PI-7,,190,350,77,19,510,27,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.278753601,2.544068044,1.886490725,1.278753601,2.707570176,1.431363764,2.278753601,2.544068044,1.886490725,1.278753601,2.707570176,1.431363764,0.087836165,0.098982859,0.071586241,0.082595393,0.136095127,0.143294692
High Temperature Polymers,PIM-PI-8i,,660,1600,545,160,3700,260,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.819543936,3.204119983,2.736396502,2.204119983,3.568201724,2.414973348,2.819543936,3.204119983,2.736396502,2.204119983,3.568201724,2.414973348,0.087931455,0.098889697,0.071580596,0.082656652,0.136378044,0.143207731
High Temperature Polymers,PIM-PI-8ii,,425,1020,320,100,2270,170,,Ghanem 2009,http://dx.doi.org/10.1021/ma901430q,2.62838893,3.008600172,2.505149978,2,3.356025857,2.230448921,2.62838893,3.008600172,2.505149978,2,3.356025857,2.230448921,0.087872115,0.098734009,0.071392241,0.082631061,0.136102236,0.142931997
High Temperature Polymers,PIM-1,,1368,3580,1790,727,8319,,,Du 2009,http://dx.doi.org/10.1021/ma9009017,3.136086097,3.553883027,3.252853031,2.861534411,3.920071124,,3.136086097,3.553883027,3.252853031,2.861534411,3.920071124,3.224348206,0.087303126,0.098239623,0.07137687,0.082231812,0.13510799,0.143492914
High Temperature Polymers,Carboxylated PIM (120C/1/hr),,616,1540,534,162,2543,,,Du 2009,http://dx.doi.org/10.1021/ma9009017,2.789580712,3.187520721,2.727541257,2.209515015,3.40534636,,2.789580712,3.187520721,2.727541257,2.209515015,3.40534636,2.532557052,0.087586866,0.098442299,0.071451794,0.082199575,0.135214404,0.14365699
High Temperature Polymers,PBO-PI 0/100,,23.6,14.3,0.72,0.09,2.7,0.03,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141,1.372912003,1.155336037,-0.142667504,-1.045757491,0.431363764,-1.522878745,1.372912003,1.155336037,-0.142667504,-1.045757491,0.431363764,-1.522878745,0.087503182,0.099440425,0.072003377,0.08286347,0.136617566,0.1445094
High Temperature Polymers,PBO-PI 20/80,,29.8,38.2,2.2,0.4,11.4,0.3,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141,1.474216264,1.582063363,0.342422681,-0.397940009,1.056904851,-0.522878745,1.474216264,1.582063363,0.342422681,-0.397940009,1.056904851,-0.522878745,0.08824844,0.09949263,0.071347747,0.082978528,0.136100836,0.144004459
High Temperature Polymers,PBO-PI 50/50,,42.1,47.1,4.8,0.82,25.3,0.65,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141,1.624282096,1.673020907,0.681241237,-0.086186148,1.403120521,-0.187086643,1.624282096,1.673020907,0.681241237,-0.086186148,1.403120521,-0.187086643,0.087627439,0.098941317,0.071612732,0.082525592,0.135922603,0.143558866
High Temperature Polymers,PBO-PI 80/20,,479,623,90,18,389,14,,Jung 2010,http://www.sciencedirect.com/science/article/pii/S0376738810000141,2.680335513,2.794488047,1.954242509,1.255272505,2.589949601,1.146128036,2.680335513,2.794488047,1.954242509,1.255272505,2.589949601,1.146128036,0.087921586,0.100074904,0.072265121,0.08303257,0.137014237,0.145110442
